id;screenshot;timestamp;header
1;1_img.png;10:00:29;1_ocr.txt
2;2_img.png;10:00:31;2_ocr.txt
3;3_img.png;10:00:33;3_ocr.txt
4;4_img.png;10:00:35;4_ocr.txt
5;5_img.png;10:00:37;5_ocr.txt
6;6_img.png;10:00:39;6_ocr.txt
7;7_img.png;10:00:41;7_ocr.txt
8;8_img.png;10:00:43;8_ocr.txt
9;9_img.png;10:00:45;9_ocr.txt
10;10_img.png;10:00:47;10_ocr.txt
11;11_img.png;10:00:49;11_ocr.txt
12;12_img.png;10:00:51;12_ocr.txt
13;13_img.png;10:00:53;13_ocr.txt
14;14_img.png;10:00:55;14_ocr.txt
15;15_img.png;10:00:57;15_ocr.txt
16;16_img.png;10:00:59;16_ocr.txt
17;17_img.png;10:01:01;17_ocr.txt
18;18_img.png;10:01:03;18_ocr.txt
19;19_img.png;10:01:05;19_ocr.txt
20;20_img.png;10:01:07;20_ocr.txt
21;21_img.png;10:01:09;21_ocr.txt
22;22_img.png;10:01:11;22_ocr.txt
23;23_img.png;10:01:13;23_ocr.txt
24;24_img.png;10:01:15;24_ocr.txt
25;25_img.png;10:01:17;25_ocr.txt
26;26_img.png;10:01:19;26_ocr.txt
27;27_img.png;10:01:21;27_ocr.txt
28;28_img.png;10:01:23;28_ocr.txt
29;29_img.png;10:01:25;29_ocr.txt
30;30_img.png;10:01:27;30_ocr.txt
31;31_img.png;10:01:29;31_ocr.txt
32;32_img.png;10:01:31;32_ocr.txt
33;33_img.png;10:01:33;33_ocr.txt
34;34_img.png;10:01:35;34_ocr.txt
35;35_img.png;10:01:37;35_ocr.txt
36;36_img.png;10:01:39;36_ocr.txt
37;37_img.png;10:01:41;37_ocr.txt
38;38_img.png;10:01:43;38_ocr.txt
39;39_img.png;10:01:45;39_ocr.txt
40;40_img.png;10:01:47;40_ocr.txt
41;41_img.png;10:01:49;41_ocr.txt
42;42_img.png;10:01:51;42_ocr.txt
43;43_img.png;10:01:53;43_ocr.txt
44;44_img.png;10:01:55;44_ocr.txt
45;45_img.png;10:01:57;45_ocr.txt
46;46_img.png;10:01:59;46_ocr.txt
47;47_img.png;10:02:01;47_ocr.txt
48;48_img.png;10:02:03;48_ocr.txt
49;49_img.png;10:02:05;49_ocr.txt
50;50_img.png;10:02:07;50_ocr.txt
51;51_img.png;10:02:09;51_ocr.txt
52;52_img.png;10:02:11;52_ocr.txt
53;53_img.png;10:02:13;53_ocr.txt
54;54_img.png;10:02:15;54_ocr.txt
55;55_img.png;10:02:17;55_ocr.txt
56;56_img.png;10:02:19;56_ocr.txt
57;57_img.png;10:02:23;57_ocr.txt
58;58_img.png;10:02:30;58_ocr.txt
